v,d,s,r,p
24,0.092,28.036,0,1.390
4,0.070,29.118,1,1.059
8,0.044,24.645,1,1.235
12,0.061,28.819,1,1.353
24,0.075,26.055,1,1.568
4,0.027,11.758,0,1.120
8,0.047,27.946,0,1.205
12,0.078,28.553,0,1.271
24,0.048,25.070,0,1.712
4,0.023,10.228,1,1.147
8,0.073,27.592,1,1.216
12,0.022,12.892,1,1.348
24,0.039,23.176,1,1.696
4,0.068,32.950,0,1.033
8,0.031,14.692,0,1.166
12,0.082,37.802,0,1.266
24,0.034,11.449,0,1.654
4,0.057,28.157,1,1.047
8,0.030,12.493,1,1.220
12,0.034,16.767,1,1.454
24,0.034,12.973,1,1.755
4,0.033,12.590,0,1.173
8,0.059,22.308,0,1.188
12,0.069,37.476,0,1.323
24,0.027,15.570,0,1.719
4,0.050,24.221,1,1.043
8,0.046,18.623,1,1.134
12,0.075,38.072,1,1.132
24,0.033,17.943,1,1.576
4,0.102,35.791,0,1.025
8,0.072,25.440,0,1.195
12,0.084,31.552,0,1.277
24,0.058,33.000,0,1.643
4,0.101,35.567,1,1.089
8,0.049,26.774,1,1.201
12,0.024,13.544,1,1.420
24,0.037,21.302,1,1.606
4,0.080,34.319,0,1.127
8,0.086,31.092,0,1.221
12,0.077,36.466,0,1.132
24,0.061,36.209,0,1.377
4,0.056,28.238,1,0.974
8,0.029,16.969,1,1.353
12,0.095,31.986,1,1.139
24,0.030,13.696,1,1.651
4,0.030,16.266,0,1.073
8,0.050,19.467,0,1.239
12,0.071,28.750,0,1.233
24,0.037,12.405,0,1.829
4,0.045,19.800,1,1.043
8,0.120,36.704,1,1.012
12,0.108,32.393,1,1.133
24,0.028,14.932,1,1.598
4,0.029,10.654,0,1.158
8,0.079,35.012,0,1.166
12,0.073,32.343,0,1.255
24,0.099,30.178,0,1.359
4,0.040,15.345,1,1.000
8,0.040,15.954,1,1.136
12,0.070,24.960,1,1.276
24,0.097,38.970,1,1.391
4,0.061,35.788,0,1.042
8,0.044,24.699,0,1.271
12,0.060,35.393,0,1.300
24,0.024,13.201,0,1.870
4,0.063,29.391,1,1.072
8,0.060,34.711,1,1.252
12,0.065,38.351,1,1.219
24,0.112,39.721,1,1.339
4,0.053,23.075,0,1.109
8,0.050,19.254,0,1.219
12,0.044,13.974,0,1.220
24,0.086,29.933,0,1.570
4,0.039,15.485,1,1.046
8,0.033,14.894,1,1.279
12,0.051,27.141,1,1.319
24,0.082,36.486,1,1.332
4,0.085,39.243,0,1.035
8,0.074,36.173,0,1.205
12,0.029,14.016,0,1.304
24,0.098,39.397,0,1.353
4,0.022,11.173,1,1.176
8,0.059,27.660,1,1.206
12,0.033,10.156,1,1.326
24,0.057,32.682,1,1.396
4,0.104,38.664,0,1.019
8,0.043,23.606,0,1.098
12,0.047,27.330,0,1.388
24,0.054,20.183,0,1.550
4,0.035,18.844,1,1.135
8,0.052,23.665,1,1.121
12,0.038,19.174,1,1.200
24,0.076,24.617,1,1.517
4,0.049,29.056,0,1.142
8,0.046,26.191,0,1.109
12,0.063,30.301,0,1.343
24,0.072,36.297,0,1.376
4,0.032,14.313,1,1.158
8,0.088,33.341,1,1.098
12,0.064,29.641,1,1.128
24,0.043,23.870,1,1.612
4,0.078,27.852,0,1.095
8,0.066,33.457,0,1.083
12,0.063,29.328,0,1.193
24,0.054,29.450,0,1.535
4,0.073,30.368,1,1.080
8,0.030,13.369,1,1.290
12,0.067,37.581,1,1.362
24,0.058,34.772,1,1.673
4,0.106,35.505,0,1.115
8,0.020,11.707,0,1.198
12,0.037,12.558,0,1.240
24,0.031,16.933,0,1.803
4,0.042,24.152,1,1.143
8,0.076,37.115,1,1.178
12,0.091,37.040,1,1.244
24,0.058,24.399,1,1.579
4,0.068,34.193,0,1.112
8,0.082,33.372,0,1.169
12,0.085,29.065,0,1.249
24,0.024,13.725,0,1.780
4,0.026,12.298,1,1.122
8,0.068,35.152,1,1.164
12,0.037,19.858,1,1.340
24,0.074,38.427,1,1.585
4,0.055,24.912,0,1.143
8,0.057,33.150,0,1.253
12,0.044,16.274,0,1.354
24,0.027,15.602,0,1.867
4,0.058,23.233,1,1.169
8,0.093,31.074,1,1.115
12,0.029,16.597,1,1.334
24,0.030,13.065,1,1.826
4,0.047,24.598,0,1.051
8,0.080,37.672,0,1.076
12,0.057,24.120,0,1.157
24,0.065,37.308,0,1.636
4,0.051,25.195,1,1.125
8,0.034,14.960,1,1.313
12,0.029,15.460,1,1.322
24,0.054,27.893,1,1.602
4,0.073,39.437,0,1.105
8,0.073,35.084,0,1.083
12,0.116,38.826,0,1.070
24,0.050,22.807,0,1.413
4,0.089,37.469,1,1.092
8,0.072,21.750,1,1.081
12,0.066,22.496,1,1.354
24,0.097,38.056,1,1.465
4,0.073,39.406,0,1.040
8,0.048,27.447,0,1.271
12,0.047,27.159,0,1.249
24,0.076,34.203,0,1.330
4,0.067,34.534,1,1.107
8,0.069,36.814,1,1.112
12,0.073,29.500,1,1.190
24,0.031,12.998,1,1.827
4,0.056,31.866,0,1.081
8,0.066,37.990,0,1.208
12,0.045,24.866,0,1.352
24,0.042,24.614,0,1.692
4,0.078,27.053,1,1.106
8,0.020,11.303,1,1.291
12,0.113,37.120,1,1.188
24,0.033,13.351,1,1.764
4,0.023,11.475,0,1.095
8,0.048,23.540,0,1.157
12,0.078,28.842,0,1.154
24,0.049,28.472,0,1.584
4,0.027,13.380,1,1.036
8,0.042,13.808,1,1.226
12,0.061,29.174,1,1.175
24,0.091,39.840,1,1.459
4,0.055,30.729,0,1.122
8,0.055,26.919,0,1.229
12,0.027,15.381,0,1.509
24,0.024,13.208,0,1.947
4,0.084,25.439,1,1.077
8,0.050,16.785,1,1.131
12,0.037,12.189,1,1.344
24,0.027,10.625,1,1.657
4,0.070,30.753,0,1.036
8,0.022,12.610,0,1.395
12,0.032,12.197,0,1.342
24,0.064,28.771,0,1.578
4,0.046,24.594,1,1.053
8,0.045,21.335,1,1.273
12,0.078,28.157,1,1.348
24,0.069,39.957,1,1.347
4,0.056,31.912,0,1.086
8,0.105,35.774,0,1.056
12,0.103,37.200,0,1.142
24,0.043,22.953,0,1.609
4,0.040,15.722,1,1.158
8,0.069,32.800,1,1.241
12,0.080,27.217,1,1.189
24,0.034,18.950,1,1.802
4,0.102,35.599,0,1.031
8,0.114,39.569,0,1.077
12,0.093,30.891,0,1.127
24,0.080,34.510,0,1.317
4,0.062,30.506,1,1.026
8,0.058,19.325,1,1.251
12,0.046,14.473,1,1.347
24,0.058,34.301,1,1.439
4,0.044,19.192,0,1.098
8,0.064,29.664,0,1.094
12,0.065,32.576,0,1.182
24,0.060,31.344,0,1.397
4,0.060,28.620,1,1.116
8,0.068,39.438,1,1.109
12,0.059,21.209,1,1.387
24,0.022,13.338,1,1.696
4,0.098,39.720,0,1.039
8,0.023,12.180,0,1.344
12,0.044,19.428,0,1.270
24,0.077,29.444,0,1.506
4,0.030,11.555,1,1.147
8,0.061,36.185,1,1.175
12,0.039,21.417,1,1.232
24,0.049,21.404,1,1.714
4,0.094,33.940,0,1.034
8,0.041,19.898,0,1.139
12,0.044,17.527,0,1.306
24,0.108,38.255,0,1.304
4,0.075,34.634,1,1.173
8,0.033,15.629,1,1.176
12,0.095,38.280,1,1.194
24,0.085,33.119,1,1.542
4,0.035,15.605,0,1.096
8,0.071,25.669,0,1.179
12,0.033,15.898,0,1.427
24,0.043,14.437,0,1.717
4,0.053,24.846,1,1.182
8,0.047,19.635,1,1.202
12,0.040,21.938,1,1.350
24,0.030,16.741,1,1.594
4,0.064,34.381,0,1.071
8,0.039,17.381,0,1.271
12,0.088,32.534,0,1.232
24,0.041,13.006,0,1.534
4,0.042,21.960,1,1.095
8,0.032,14.524,1,1.248
12,0.071,25.735,1,1.197
24,0.071,39.441,1,1.610
4,0.035,12.213,0,1.067
8,0.048,25.014,0,1.161
12,0.056,32.477,0,1.144
24,0.044,26.032,0,1.753
4,0.054,28.227,1,1.149
8,0.028,15.483,1,1.289
12,0.064,21.956,1,1.142
24,0.093,28.327,1,1.423
4,0.079,38.621,0,1.045
8,0.046,21.071,0,1.081
12,0.058,32.267,0,1.376
24,0.065,38.340,0,1.372
4,0.061,19.308,1,1.054
8,0.075,34.519,1,1.160
12,0.034,11.301,1,1.451
24,0.125,37.807,1,1.392
4,0.059,23.152,0,1.043
8,0.029,16.120,0,1.354
12,0.069,21.537,0,1.126
24,0.058,32.170,0,1.591
4,0.031,16.037,1,1.190
8,0.023,12.728,1,1.405
12,0.027,15.808,1,1.471
24,0.090,36.367,1,1.324
4,0.067,29.276,0,1.104
8,0.070,21.630,0,1.241
12,0.019,10.836,0,1.461
24,0.055,22.655,0,1.585
4,0.105,32.165,1,1.145
8,0.081,33.426,1,1.214
12,0.061,28.971,1,1.367
24,0.057,32.177,1,1.423
4,0.056,26.442,0,1.144
8,0.035,16.433,0,1.137
12,0.070,34.606,0,1.341
24,0.069,35.756,0,1.483
4,0.081,24.561,1,1.140
8,0.043,24.621,1,1.201
12,0.032,15.768,1,1.426
24,0.024,12.042,1,1.975
4,0.057,27.793,0,1.094
8,0.040,14.012,0,1.117
12,0.052,19.826,0,1.158
24,0.021,11.894,0,1.885
4,0.091,36.899,1,1.064
8,0.069,30.621,1,1.105
12,0.062,22.836,1,1.263
24,0.070,31.728,1,1.627
4,0.084,25.432,0,1.087
8,0.026,12.400,0,1.251
12,0.083,31.725,0,1.175
24,0.033,11.912,0,1.742
4,0.050,27.048,1,1.078
8,0.067,29.388,1,1.272
12,0.048,27.130,1,1.408
24,0.029,17.025,1,1.846
4,0.056,27.671,0,1.057
8,0.038,22.776,0,1.181
12,0.030,15.793,0,1.358
24,0.066,37.440,0,1.400
4,0.023,12.724,1,1.015
8,0.102,38.293,1,1.069
12,0.037,12.601,1,1.338
24,0.108,35.980,1,1.478
4,0.021,10.165,0,1.096
8,0.047,27.106,0,1.080
12,0.056,19.807,0,1.377
24,0.073,38.808,0,1.522
4,0.082,39.249,1,1.125
8,0.057,32.745,1,1.168
12,0.040,20.285,1,1.357
24,0.055,32.949,1,1.487
4,0.074,31.499,0,1.045
8,0.068,21.699,0,1.218
12,0.082,31.352,0,1.249
24,0.050,28.877,0,1.562
4,0.072,24.666,1,0.965
8,0.028,14.803,1,1.351
12,0.044,20.450,1,1.232
24,0.094,39.570,1,1.301
4,0.108,38.932,0,1.069
8,0.063,32.527,0,1.109
12,0.053,25.547,0,1.316
24,0.054,31.860,0,1.672
4,0.039,16.945,1,1.122
8,0.083,31.772,1,1.082
12,0.046,20.351,1,1.201
24,0.047,14.443,1,1.440
4,0.066,38.937,0,1.064
8,0.091,38.387,0,1.138
12,0.075,36.413,0,1.199
24,0.034,18.874,0,1.684
4,0.021,12.083,1,1.184
8,0.071,30.168,1,1.233
12,0.038,11.463,1,1.245
24,0.038,15.068,1,1.759
4,0.057,28.917,0,1.076
8,0.073,25.852,0,1.212
12,0.078,31.187,0,1.194
24,0.025,12.000,0,1.960
4,0.031,15.076,1,1.177
8,0.074,35.814,1,1.266
12,0.024,13.593,1,1.551
24,0.076,31.663,1,1.584
4,0.053,17.473,0,1.092
8,0.038,16.842,0,1.333
12,0.023,12.185,0,1.294
24,0.082,36.393,0,1.463
4,0.041,22.276,1,1.107
8,0.028,16.658,1,1.308
12,0.116,37.535,1,1.130
24,0.052,22.021,1,1.610
4,0.035,18.986,0,1.162
8,0.055,21.328,0,1.197
12,0.047,22.657,0,1.239
24,0.031,16.149,0,1.789
4,0.061,35.979,1,1.175
8,0.049,15.889,1,1.080
12,0.053,17.209,1,1.357
24,0.059,22.896,1,1.652
4,0.039,18.655,0,1.095
8,0.062,34.679,0,1.268
12,0.110,33.469,0,1.187
24,0.030,12.740,0,1.619
4,0.042,18.914,1,1.136
8,0.052,20.133,1,1.247
12,0.055,23.624,1,1.218
24,0.106,34.745,1,1.345
4,0.071,30.337,0,1.130
8,0.025,10.788,0,1.251
12,0.075,36.164,0,1.128
24,0.022,10.848,0,2.037
4,0.030,16.021,1,1.153
8,0.102,39.255,1,1.069
12,0.069,22.244,1,1.202
24,0.035,10.805,1,1.740
4,0.062,21.936,0,1.128
8,0.051,20.794,0,1.175
12,0.077,29.030,0,1.137
24,0.055,30.830,0,1.396
4,0.026,12.170,1,1.008
8,0.066,34.094,1,1.283
12,0.056,32.017,1,1.192
24,0.023,12.860,1,1.988
4,0.040,20.585,0,1.088
8,0.045,25.462,0,1.288
12,0.071,35.797,0,1.297
24,0.049,28.023,0,1.546
4,0.048,20.640,1,1.076
8,0.070,37.233,1,1.105
12,0.074,23.023,1,1.235
24,0.061,24.479,1,1.531
4,0.022,10.936,0,1.094
8,0.097,35.698,0,1.130
12,0.049,26.475,0,1.313
24,0.063,20.663,0,1.418
4,0.055,19.989,1,1.084
8,0.091,37.989,1,1.067
12,0.056,32.533,1,1.393
24,0.027,11.145,1,1.820
4,0.048,23.261,0,1.108
8,0.060,24.891,0,1.233
12,0.028,12.610,0,1.365
24,0.053,28.851,0,1.661
4,0.021,11.632,1,1.197
8,0.046,26.991,1,1.129
12,0.058,31.651,1,1.262
24,0.050,28.737,1,1.526
4,0.042,13.394,0,1.102
8,0.036,15.759,0,1.149
12,0.087,38.373,0,1.337
24,0.037,18.213,0,1.757
4,0.084,35.171,1,1.132
8,0.070,28.575,1,1.212
12,0.059,34.113,1,1.262
24,0.113,39.418,1,1.409
4,0.090,31.536,0,1.053
8,0.086,34.232,0,1.060
12,0.045,18.256,0,1.325
24,0.065,20.092,0,1.425
4,0.051,23.660,1,1.146
8,0.067,22.004,1,1.182
12,0.034,19.675,1,1.356
24,0.043,13.959,1,1.683
4,0.040,15.291,0,1.157
8,0.070,24.248,0,1.220
12,0.033,16.013,0,1.463
24,0.105,32.150,0,1.417
4,0.047,26.470,1,1.174
8,0.028,16.713,1,1.260
12,0.059,32.941,1,1.361
24,0.035,20.391,1,1.808
4,0.087,29.749,0,1.062
8,0.072,33.578,0,1.237
12,0.069,22.240,0,1.336
24,0.033,18.758,0,1.667
4,0.081,38.293,1,1.139
8,0.041,14.509,1,1.284
12,0.055,18.639,1,1.353
24,0.096,31.916,1,1.478
4,0.023,12.722,0,1.195
8,0.059,22.045,0,1.216
12,0.025,15.023,0,1.527
24,0.030,13.453,0,1.787
4,0.059,32.077,1,1.015
8,0.038,11.561,1,1.326
12,0.067,35.061,1,1.133
24,0.041,18.436,1,1.651
4,0.059,24.496,0,1.065
8,0.059,27.217,0,1.176
12,0.029,15.529,0,1.390
24,0.043,19.793,0,1.487
4,0.089,31.588,1,1.104
8,0.018,10.252,1,1.363
12,0.073,32.517,1,1.263
24,0.087,38.730,1,1.341
4,0.080,26.349,0,1.118
8,0.094,36.017,0,1.052
12,0.049,26.172,0,1.262
24,0.039,19.373,0,1.606
4,0.046,24.802,1,1.076
8,0.050,29.103,1,1.139
12,0.061,24.033,1,1.201
24,0.058,33.577,1,1.569
4,0.087,29.246,0,1.078
8,0.035,11.144,0,1.263
12,0.058,34.179,0,1.174
24,0.071,29.827,0,1.404
4,0.108,34.407,1,1.009
8,0.070,27.907,1,1.255
12,0.053,21.161,1,1.205
24,0.042,22.729,1,1.599
4,0.058,26.207,0,1.075
8,0.105,32.517,0,1.192
12,0.046,22.560,0,1.306
24,0.069,37.257,0,1.422
4,0.098,37.382,1,0.979
8,0.030,13.260,1,1.216
12,0.070,30.173,1,1.333
24,0.036,15.573,1,1.666
4,0.029,13.751,0,1.128
8,0.108,33.060,0,1.034
12,0.031,15.585,0,1.233
24,0.062,34.565,0,1.593
4,0.056,31.492,1,1.023
8,0.040,15.358,1,1.329
12,0.077,26.529,1,1.309
24,0.073,39.844,1,1.404
4,0.067,33.186,0,1.096
8,0.039,18.915,0,1.204
12,0.058,27.690,0,1.192
24,0.078,24.833,0,1.457
4,0.038,21.994,1,1.029
8,0.068,33.379,1,1.181
12,0.046,24.470,1,1.382
24,0.048,15.977,1,1.670
4,0.066,32.244,0,1.057
8,0.080,38.108,0,1.077
12,0.096,32.838,0,1.267
24,0.044,17.971,0,1.578
4,0.060,33.021,1,1.061
8,0.046,26.368,1,1.147
12,0.040,22.028,1,1.265
24,0.059,22.818,1,1.654
4,0.099,35.572,0,1.046
8,0.077,29.668,0,1.094
12,0.066,26.461,0,1.317
24,0.035,20.357,0,1.591
4,0.067,33.483,1,1.112
8,0.054,25.629,1,1.120
12,0.038,17.103,1,1.344
24,0.029,15.576,1,1.916
4,0.052,29.377,0,1.072
8,0.064,24.080,0,1.280
12,0.096,39.414,0,1.169
24,0.103,38.340,0,1.404
4,0.070,32.425,1,1.068
8,0.036,19.861,1,1.316
12,0.043,20.170,1,1.431
24,0.073,38.212,1,1.466
4,0.076,28.441,0,1.062
8,0.057,25.224,0,1.211
12,0.063,24.965,0,1.198
24,0.037,11.577,0,1.525
4,0.097,38.681,1,1.054
8,0.091,37.550,1,1.055
12,0.056,32.543,1,1.373
24,0.020,11.093,1,2.092
4,0.064,28.562,0,1.105
8,0.029,15.244,0,1.361
12,0.100,34.126,0,1.184
24,0.059,32.565,0,1.641
4,0.100,32.902,1,0.956
8,0.037,21.187,1,1.271
12,0.042,21.554,1,1.299
24,0.040,16.626,1,1.768
4,0.051,24.240,0,1.046
8,0.046,18.475,0,1.235
12,0.045,15.342,0,1.175
24,0.048,21.751,0,1.695
4,0.059,24.632,1,1.105
8,0.106,38.521,1,1.186
12,0.056,20.264,1,1.307
24,0.081,34.750,1,1.555
4,0.045,26.554,0,1.128
8,0.035,11.421,0,1.182
12,0.018,10.534,0,1.485
24,0.053,30.964,0,1.664
4,0.034,18.246,1,1.147
8,0.056,17.025,1,1.183
12,0.074,39.764,1,1.327
24,0.031,12.840,1,1.866
4,0.048,19.624,0,1.104
8,0.031,12.863,0,1.239
12,0.039,20.249,0,1.414
24,0.022,10.761,0,1.958
4,0.048,25.276,1,1.020
8,0.037,16.967,1,1.113
12,0.021,11.771,1,1.404
24,0.033,19.381,1,1.648
4,0.048,24.151,0,1.123
8,0.103,38.245,0,1.077
12,0.077,30.579,0,1.329
24,0.096,34.949,0,1.415
4,0.078,26.398,1,0.973
8,0.094,34.695,1,1.154
12,0.060,20.508,1,1.225
24,0.030,12.298,1,1.706
4,0.080,36.153,0,1.059
8,0.070,35.880,0,1.132
12,0.119,36.925,0,1.201
24,0.033,18.098,0,1.683
4,0.039,19.770,1,1.037
8,0.037,17.284,1,1.268
12,0.032,11.354,1,1.373
24,0.072,25.354,1,1.502
4,0.053,23.396,0,1.039
8,0.068,24.705,0,1.258
12,0.086,35.439,0,1.197
24,0.035,18.078,0,1.831
4,0.027,15.579,1,1.029
8,0.075,37.675,1,1.202
12,0.045,24.384,1,1.323
24,0.049,23.206,1,1.568
4,0.064,37.730,0,1.137
8,0.070,38.429,0,1.179
12,0.054,30.835,0,1.292
24,0.048,26.228,0,1.456
4,0.081,36.996,1,1.013
8,0.100,32.079,1,1.045
12,0.090,35.459,1,1.329
24,0.097,35.209,1,1.363
4,0.079,37.436,0,1.064
8,0.064,38.027,0,1.081
12,0.021,10.190,0,1.532
24,0.053,17.835,0,1.603
4,0.066,32.063,1,1.041
8,0.055,20.935,1,1.258
12,0.036,19.107,1,1.289
24,0.082,35.117,1,1.452
4,0.030,17.257,0,1.082
8,0.064,36.553,0,1.153
12,0.046,25.632,0,1.375
24,0.059,28.569,0,1.646
4,0.049,19.408,1,1.147
8,0.043,24.520,1,1.215
12,0.035,19.861,1,1.381
24,0.042,13.496,1,1.562
4,0.060,22.027,0,1.076
8,0.064,25.158,0,1.160
12,0.043,13.636,0,1.224
24,0.029,17.197,0,1.579
4,0.053,26.896,1,1.188
8,0.080,26.201,1,1.054
12,0.073,34.061,1,1.330
24,0.039,23.184,1,1.590
4,0.039,21.852,0,1.088
8,0.035,11.230,0,1.317
12,0.047,26.367,0,1.293
24,0.036,17.610,0,1.562
4,0.070,35.306,1,1.119
8,0.030,17.920,1,1.168
12,0.092,31.781,1,1.236
24,0.119,38.711,1,1.273
4,0.026,10.511,0,1.156
8,0.037,19.843,0,1.145
12,0.037,17.411,0,1.211
24,0.031,10.815,0,1.767
4,0.065,30.068,1,1.060
8,0.030,11.590,1,1.269
12,0.054,22.256,1,1.265
24,0.059,31.213,1,1.620
4,0.030,17.222,0,1.097
8,0.087,38.021,0,1.064
12,0.046,15.320,0,1.318
24,0.024,10.178,0,1.693
4,0.042,17.860,1,1.124
8,0.074,27.614,1,1.121
12,0.095,39.965,1,1.326
24,0.037,17.296,1,1.602
4,0.092,39.246,0,1.026
8,0.063,25.319,0,1.156
12,0.090,39.211,0,1.300
24,0.111,37.506,0,1.478
4,0.027,15.622,1,1.211
8,0.099,37.915,1,1.205
12,0.038,16.348,1,1.401
24,0.043,12.867,1,1.777
4,0.090,32.169,0,1.058
8,0.029,15.892,0,1.169
12,0.069,22.304,0,1.168
24,0.060,29.047,0,1.672
4,0.062,24.461,1,1.182
8,0.036,16.031,1,1.195
12,0.025,11.153,1,1.311
24,0.023,11.406,1,1.794
4,0.080,30.996,0,1.105
8,0.023,10.422,0,1.246
12,0.046,19.324,0,1.191
24,0.063,31.575,0,1.621
4,0.096,31.873,1,1.135
8,0.094,36.568,1,1.199
12,0.037,21.460,1,1.465
24,0.042,22.042,1,1.482
4,0.027,12.886,0,1.172
8,0.076,38.186,0,1.102
12,0.029,13.352,0,1.430
24,0.088,39.375,0,1.498
4,0.093,33.197,1,1.054
8,0.029,15.783,1,1.324
12,0.047,27.043,1,1.308
24,0.033,14.172,1,1.569
4,0.039,12.104,0,1.114
8,0.027,12.490,0,1.218
12,0.081,36.154,0,1.287
24,0.054,22.714,0,1.626
4,0.071,33.456,1,1.031
8,0.042,16.793,1,1.246
12,0.065,28.436,1,1.295
24,0.085,37.728,1,1.540
4,0.039,18.758,0,1.070
8,0.102,31.774,0,1.087
12,0.046,16.565,0,1.373
24,0.045,19.813,0,1.760
4,0.082,39.702,1,1.061
8,0.066,37.584,1,1.095
12,0.105,33.460,1,1.111
24,0.056,17.063,1,1.585
4,0.081,35.909,0,1.082
8,0.044,19.262,0,1.092
12,0.047,22.535,0,1.172
24,0.093,28.700,0,1.374
4,0.073,31.575,1,0.983
8,0.104,32.417,1,1.196
12,0.025,14.786,1,1.466
24,0.039,12.013,1,1.493
4,0.072,29.644,0,1.100
8,0.065,36.678,0,1.064
12,0.027,14.375,0,1.437
24,0.032,15.706,0,1.830
4,0.060,29.601,1,1.055
8,0.043,17.284,1,1.287
12,0.041,22.946,1,1.228
24,0.119,39.062,1,1.322
4,0.069,25.964,0,1.102
8,0.036,20.013,0,1.168
12,0.100,36.533,0,1.205
24,0.022,10.396,0,2.015
4,0.052,19.671,1,1.026
8,0.084,34.595,1,1.170
12,0.050,29.239,1,1.330
24,0.052,23.005,1,1.634
4,0.044,21.534,0,1.153
8,0.049,24.599,0,1.224
12,0.119,39.016,0,1.153
24,0.060,32.652,0,1.446
4,0.049,20.763,1,1.057
8,0.035,16.272,1,1.205
12,0.075,34.122,1,1.256
24,0.076,39.522,1,1.326
4,0.042,19.514,0,1.111
8,0.035,14.548,0,1.126
12,0.025,14.925,0,1.460
24,0.059,31.963,0,1.481
4,0.049,24.758,1,1.058
8,0.053,23.655,1,1.240
12,0.051,22.377,1,1.284
24,0.028,16.704,1,1.818
4,0.036,14.702,0,1.097
8,0.032,16.872,0,1.339
12,0.018,10.139,0,1.522
24,0.030,17.362,0,1.690
4,0.066,32.452,1,1.180
8,0.069,27.551,1,1.265
12,0.088,26.996,1,1.094
24,0.101,39.115,1,1.504
4,0.104,38.763,0,1.038
8,0.019,11.121,0,1.380
12,0.109,37.568,0,1.077
24,0.028,16.532,0,1.660
4,0.095,34.260,1,1.107
8,0.043,24.160,1,1.212
12,0.069,32.686,1,1.250
24,0.037,13.031,1,1.642
4,0.030,17.617,0,1.178
8,0.059,26.135,0,1.276
12,0.023,12.280,0,1.429
24,0.030,11.156,0,1.605
4,0.045,22.073,1,1.035
8,0.070,27.732,1,1.273
12,0.069,37.725,1,1.358
24,0.050,19.863,1,1.421
4,0.046,24.448,0,1.102
8,0.065,20.609,0,1.057
12,0.045,22.723,0,1.224
24,0.058,24.780,0,1.580
4,0.067,35.899,1,1.045
8,0.064,26.973,1,1.195
12,0.043,17.687,1,1.429
24,0.073,33.448,1,1.445
4,0.020,11.337,0,1.137
8,0.083,27.996,0,1.214
12,0.055,21.058,0,1.344
24,0.026,11.567,0,1.815
4,0.055,17.534,1,1.115
8,0.040,22.404,1,1.268
12,0.046,23.661,1,1.391
24,0.023,12.205,1,1.730
4,0.064,32.803,0,1.086
8,0.084,39.350,0,1.175
12,0.065,37.711,0,1.251
24,0.068,28.478,0,1.464
4,0.043,15.290,1,1.157
8,0.049,16.562,1,1.236
12,0.084,37.009,1,1.118
24,0.035,20.390,1,1.733
4,0.104,35.048,0,1.058
8,0.059,30.442,0,1.081
12,0.020,11.195,0,1.550
24,0.026,13.858,0,1.814
4,0.061,19.218,1,0.971
8,0.106,33.179,1,1.117
12,0.035,12.547,1,1.348
24,0.022,10.247,1,1.910
4,0.018,10.781,0,1.161
8,0.072,38.268,0,1.060
12,0.049,28.346,0,1.320
24,0.065,21.896,0,1.409
4,0.097,31.982,1,1.017
8,0.053,24.788,1,1.151
12,0.102,31.698,1,1.100
24,0.103,31.174,1,1.384
4,0.057,24.763,0,1.065
8,0.086,28.249,0,1.074
12,0.041,20.780,0,1.335
24,0.094,32.726,0,1.443
4,0.081,29.203,1,1.036
8,0.106,39.007,1,1.199
12,0.064,35.113,1,1.209
24,0.042,14.423,1,1.477
4,0.033,17.503,0,1.151
8,0.032,18.961,0,1.267
12,0.069,26.059,0,1.218
24,0.019,11.034,0,1.969
4,0.082,39.856,1,1.066
8,0.053,22.115,1,1.264
12,0.026,10.121,1,1.433
24,0.071,36.870,1,1.362
4,0.071,39.327,0,1.085
8,0.058,29.657,0,1.190
12,0.026,12.807,0,1.365
24,0.068,38.848,0,1.431
4,0.077,31.761,1,1.152
8,0.043,18.105,1,1.164
12,0.061,19.084,1,1.160
24,0.052,22.702,1,1.503
4,0.027,10.208,0,1.160
8,0.116,36.093,0,1.237
12,0.030,16.064,0,1.375
24,0.091,39.989,0,1.487
4,0.108,39.309,1,0.966
8,0.076,34.566,1,1.228
12,0.065,30.694,1,1.286
24,0.030,13.300,1,1.711
4,0.027,12.899,0,1.127
8,0.049,15.403,0,1.096
12,0.054,31.399,0,1.239
24,0.047,18.616,0,1.458
4,0.056,21.035,1,1.050
8,0.079,36.213,1,1.148
12,0.069,21.917,1,1.169
24,0.029,10.953,1,1.789
4,0.051,27.915,0,1.047
8,0.031,17.371,0,1.282
12,0.045,23.622,0,1.385
24,0.020,11.328,0,2.028
4,0.067,28.434,1,1.022
8,0.066,25.873,1,1.249
12,0.077,25.940,1,1.147
24,0.081,36.121,1,1.324
4,0.044,14.953,0,1.148
8,0.075,27.942,0,1.195
12,0.114,34.758,0,1.246
24,0.068,36.235,0,1.459
4,0.033,15.894,1,1.145
8,0.064,38.002,1,1.222
12,0.039,14.407,1,1.330
24,0.071,37.799,1,1.335
4,0.051,20.813,0,1.092
8,0.076,31.219,0,1.129
12,0.024,14.044,0,1.401
24,0.069,29.630,0,1.370
4,0.060,30.129,1,1.105
8,0.073,24.707,1,1.253
12,0.032,16.716,1,1.470
24,0.026,11.992,1,1.619
4,0.068,30.995,0,1.066
8,0.025,14.874,0,1.201
12,0.090,29.373,0,1.098
24,0.028,11.303,0,1.738
4,0.023,10.021,1,1.016
8,0.068,27.586,1,1.268
12,0.041,22.814,1,1.212
24,0.073,26.005,1,1.582
4,0.036,15.693,0,1.087
8,0.038,13.342,0,1.232
12,0.064,33.559,0,1.231
24,0.050,16.455,0,1.474
4,0.027,15.680,1,1.159
